actor_lr,critic_lr,buf_size,batch_size,ou_theta,ou_sigma,auc_seed_1000,auc_seed_2000,auc_seed_3000,auc_seed_4000,auc_seed_5000,auc_seed_6000,auc_seed_7000,auc_seed_8000,auc_seed_9000,auc_seed_10000,mean_auc,std_auc,min_auc,max_auc,n_seeds,file_name
0.0001,0.0001,1000000,64,0.15,0.1,,,,,,,,,,-50063.55445327484,-50063.55445327484,0.0,-50063.55445327484,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.1
0.0001,0.001,1000000,64,0.2,0.2,,,,,,,,,,-50063.92211002317,-50063.92211002317,0.0,-50063.92211002317,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.2_sig_0.2
0.0001,0.0001,500000,64,0.25,0.1,,-50064.37527631602,,-50064.35161574144,,-50063.31928811855,,,,,-50064.01539339201,0.4923155285612238,-50064.37527631602,0.4923155285612238,7,car-train_2000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1
0.0001,0.001,1000000,64,0.15,0.2,,,,,,,,,,-50064.02020753059,-50064.02020753059,0.0,-50064.02020753059,0.0,5,car-train_10000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.15_sig_0.2
0.0001,0.0001,500000,64,0.15,0.2,,,,-50064.47271689589,,-50064.288966912376,,,,-50064.027283542084,-50064.26298911678,0.18277281447960508,-50064.47271689589,0.18277281447960508,7,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2
0.0001,0.0001,1000000,64,0.15,0.2,,,,,,-50064.288966912376,,,,,-50064.288966912376,0.0,-50064.288966912376,0.0,5,car-train_6000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.0001,100000,64,0.25,0.1,,,-50064.322654647825,,-50064.32239123217,,,-50064.34054130043,-50064.324228061654,-50064.35380478239,-50064.33272400489,0.012536733903019267,-50064.35380478239,0.012536733903019267,9,car-train_10000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1
0.01,0.0001,500000,64,0.25,0.1,,,-50064.322654647825,,,,,,-50064.324228061654,-50064.35380478239,-50064.33356249729,0.014327863002222021,-50064.35380478239,0.014327863002222021,7,car-train_10000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_3000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.1
0.01,0.0001,500000,64,0.2,0.1,,,,,-50064.3248951341,,,-50064.35522037197,,,-50064.340057753034,0.015162618932663463,-50064.35522037197,0.015162618932663463,6,car-train_5000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1
0.01,0.0001,1000000,64,0.25,0.1,,,,,,,,-50064.34054130043,,,-50064.34054130043,0.0,-50064.34054130043,0.0,5,car-train_8000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.25_sig_0.1
0.01,0.0001,1000000,64,0.15,0.1,,,,,,,,,-50064.34632577502,,-50064.34632577502,0.0,-50064.34632577502,0.0,5,car-train_9000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.1
0.0001,0.0001,1000000,64,0.25,0.1,,,,-50064.35161574144,,,,,,,-50064.35161574144,0.0,-50064.35161574144,0.0,5,car-train_4000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.25_sig_0.1
0.0001,0.01,1000000,64,0.2,0.1,,,,,,,,-50064.352679879376,,,-50064.352679879376,0.0,-50064.352679879376,0.0,5,car-train_8000_2000000_al_0.0001_cl_0.01_buf_1000000_bs_64_th_0.2_sig_0.1
0.01,0.01,1000000,64,0.25,0.1,,,,,,,,,,-50064.353724488166,-50064.353724488166,0.0,-50064.353724488166,0.0,5,car-train_10000_2000000_al_0.01_cl_0.01_buf_1000000_bs_64_th_0.25_sig_0.1
0.01,0.0001,1000000,64,0.2,0.1,,,,,,,,-50064.35522037197,,,-50064.35522037197,0.0,-50064.35522037197,0.0,5,car-train_8000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.2_sig_0.1
0.001,0.001,500000,64,0.25,0.1,,-50064.37021544197,,,,-50064.365819748804,,,,-50064.35381277906,-50064.36328265662,0.00693250629309058,-50064.37021544197,0.00693250629309058,7,car-train_10000_2000000_al_0.001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_2000_2000000_al_0.001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1
0.01,0.0001,500000,64,0.15,0.1,,,-50064.3555069854,,,,,-50064.378812597104,,,-50064.36715979125,0.011652805853373138,-50064.378812597104,0.011652805853373138,6,car-train_3000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1
0.01,0.01,1000000,64,0.15,0.1,,,,,,,,,,-50064.377972851515,-50064.377972851515,0.0,-50064.377972851515,0.0,5,car-train_10000_2000000_al_0.01_cl_0.01_buf_1000000_bs_64_th_0.15_sig_0.1
0.01,0.001,1000000,64,0.15,0.1,,,,,,,,-50064.37881260987,,,-50064.37881260987,0.0,-50064.37881260987,0.0,5,car-train_8000_2000000_al_0.01_cl_0.001_buf_1000000_bs_64_th_0.15_sig_0.1
0.001,0.0001,1000000,64,0.2,0.1,,,,,,,,-50064.35523093569,,-50064.51325200633,-50064.43424147101,0.07901053531895741,-50064.51325200633,0.07901053531895741,6,car-train_10000_2000000_al_0.001_cl_0.0001_buf_1000000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.001_cl_0.0001_buf_1000000_bs_64_th_0.2_sig_0.1
0.01,0.0001,500000,64,0.2,0.2,,,-50064.43754333556,,,,,-50064.467066200574,-50064.41599000843,,-50064.440199848184,0.020936207003796854,-50064.467066200574,0.020936207003796854,7,car-train_3000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.2;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.2;car-train_9000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.2
0.01,0.01,1000000,64,0.2,0.2,,,,,,,,,,-50064.448443916466,-50064.448443916466,0.0,-50064.448443916466,0.0,5,car-train_10000_2000000_al_0.01_cl_0.01_buf_1000000_bs_64_th_0.2_sig_0.2
0.0001,0.0001,500000,64,0.25,0.2,,,,,,,,-50064.448859069365,,,-50064.448859069365,0.0,-50064.448859069365,0.0,5,car-train_8000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.2
0.0001,0.0001,1000000,64,0.2,0.2,,,,-50064.450341068215,,,,,,,-50064.450341068215,0.0,-50064.450341068215,0.0,5,car-train_4000_2000000_al_0.0001_cl_0.0001_buf_1000000_bs_64_th_0.2_sig_0.2
0.01,0.001,1000000,64,0.25,0.2,,,,,,,,-50064.45060897057,,,-50064.45060897057,0.0,-50064.45060897057,0.0,5,car-train_8000_2000000_al_0.01_cl_0.001_buf_1000000_bs_64_th_0.25_sig_0.2
0.001,0.0001,1000000,64,0.15,0.2,,-50064.500336435885,,,-50064.44135230366,,,,,,-50064.470844369775,0.029492066114471527,-50064.500336435885,0.029492066114471527,6,car-train_2000_2000000_al_0.001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.2;car-train_5000_2000000_al_0.001_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.0001,1000000,64,0.15,0.2,,,,,,,,-50064.48947200759,,,-50064.48947200759,0.0,-50064.48947200759,0.0,5,car-train_8000_2000000_al_0.01_cl_0.0001_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.0001,500000,64,0.15,0.2,,,,,,,,-50064.48947200759,,-50064.495944295915,-50064.49270815175,0.0032361441626562737,-50064.495944295915,0.0032361441626562737,6,car-train_10000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.2
0.001,0.001,1000000,64,0.15,0.2,,,,,,-50064.49378747065,,,,,-50064.49378747065,0.0,-50064.49378747065,0.0,5,car-train_6000_2000000_al_0.001_cl_0.001_buf_1000000_bs_64_th_0.15_sig_0.2
0.001,0.01,1000000,64,0.15,0.2,,,,,,-50064.49414094291,,,,,-50064.49414094291,0.0,-50064.49414094291,0.0,5,car-train_6000_2000000_al_0.001_cl_0.01_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.01,1000000,64,0.15,0.2,,,,,,,,,,-50064.49594437702,-50064.49594437702,0.0,-50064.49594437702,0.0,5,car-train_10000_2000000_al_0.01_cl_0.01_buf_1000000_bs_64_th_0.15_sig_0.2
0.01,0.0001,100000,64,0.15,0.2,,,-50064.61920242374,,-50064.45881316337,,,-50064.48947201075,-50064.43890910523,-50064.495944295915,-50064.5004681998,0.06287107760909534,-50064.61920242374,0.06287107760909534,9,car-train_10000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.2;car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.2;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.2;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.2;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.2
0.0001,0.01,500000,64,0.25,0.2,,,,,-50065.145217558726,,,-50064.447732219436,,,-50064.79647488908,0.34874266964470735,-50065.145217558726,0.34874266964470735,6,car-train_5000_2000000_al_0.0001_cl_0.01_buf_500000_bs_64_th_0.25_sig_0.2;car-train_8000_2000000_al_0.0001_cl_0.01_buf_500000_bs_64_th_0.25_sig_0.2
0.0001,0.001,500000,64,0.25,0.1,,-50082.1076528467,,,-50058.62406154885,-50060.83660466816,,-50064.33796390434,,,-50066.47657074201,9.251695586655556,-50082.1076528467,9.251695586655556,8,car-train_2000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_5000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.25_sig_0.1
0.0001,0.001,1000000,64,0.25,0.1,,-50082.1076528467,,,,-50060.83660466816,,,,,-50071.472128757436,10.635524089269893,-50082.1076528467,10.635524089269893,6,car-train_2000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.001_buf_1000000_bs_64_th_0.25_sig_0.1
0.0001,0.0001,100000,64,0.25,0.1,-50119.02300497273,-50064.37527631602,,-50064.35161574144,-50064.31601096042,-50063.31928811855,,-50064.33911739684,,-50064.11606762676,-50071.97719730467,19.209512183153414,-50119.02300497273,19.209512183153414,11,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_1000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_2000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_5000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.1
0.0001,0.0001,100000,64,0.15,0.1,-50118.96260388577,-50059.325458440624,,-50064.368397633196,,-50064.081701231196,,-50064.37717684444,,-50063.55445327484,-50072.44496521834,20.877889842380675,-50118.96260388577,20.877889842380675,10,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_1000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_2000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1
0.01,0.0001,100000,64,0.2,0.1,,,-50064.33252116369,,-50064.3248951341,,-50119.247333599014,-50064.35522037197,-50064.32876800147,-50064.513253748235,-50073.516998669744,20.451332940320665,-50119.247333599014,20.451332940320665,10,car-train_10000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_7000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1
0.01,0.0001,100000,64,0.2,0.2,,,-50064.43754333556,,-50064.428022968306,-50119.804715848055,,-50064.467066200574,-50064.41599000843,-50064.44844384894,-50073.66696370164,20.63343619738436,-50119.804715848055,20.63343619738436,10,car-train_10000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2;car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2;car-train_6000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.2
0.0001,0.0001,100000,64,0.25,0.2,-50113.19347001473,,,-50064.42817493281,-50064.39075672544,,,-50064.448859069365,,-50064.25000200728,-50074.14225254992,19.525732038607,-50113.19347001473,19.525732038607,9,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.2;car-train_1000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.2;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.2;car-train_5000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.2;car-train_8000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.25_sig_0.2
0.01,0.0001,100000,64,0.15,0.1,,,-50064.3555069854,,-50064.342880321376,,-50119.296244310564,-50064.378812597104,-50064.34632577502,,-50075.34395399789,21.976148734388296,-50119.296244310564,21.976148734388296,9,car-train_3000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_5000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_7000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1;car-train_9000_2000000_al_0.01_cl_0.0001_buf_100000_bs_64_th_0.15_sig_0.1
0.0001,0.001,500000,64,0.15,0.1,-50119.05249690487,-50062.92664702179,,,,,,-50064.37632557826,,-50060.98902755662,-50076.836124265385,24.40324124704822,-50119.05249690487,24.40324124704822,8,car-train_10000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_1000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_2000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.001_buf_500000_bs_64_th_0.15_sig_0.1
0.0001,0.0001,500000,64,0.2,0.1,,-50119.04595079459,,-50064.35769111264,,,,-50064.35357153204,,-50063.94280385256,-50077.925004322955,23.74178776157586,-50119.04595079459,23.74178776157586,8,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1;car-train_2000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.0001_buf_500000_bs_64_th_0.2_sig_0.1
0.0001,0.0001,100000,64,0.2,0.1,-50119.03156265772,-50119.04595079459,,-50064.35769111264,-50064.31822747961,-50064.0939643632,,-50064.35357153204,-50064.2895288947,-50063.94280385256,-50077.92916258588,23.73501415854501,-50119.04595079459,23.73501415854501,12,car-train_10000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_1000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_2000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_4000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_5000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_6000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_8000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1;car-train_9000_2000000_al_0.0001_cl_0.0001_buf_100000_bs_64_th_0.2_sig_0.1
0.001,0.0001,500000,64,0.15,0.1,,-50118.65899189135,,,-50064.31818805288,,,-50064.378822891624,,-50064.526994630636,-50077.97074936662,23.491490570416577,-50118.65899189135,23.491490570416577,8,car-train_10000_2000000_al_0.001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_2000_2000000_al_0.001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_5000_2000000_al_0.001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.001_cl_0.0001_buf_500000_bs_64_th_0.15_sig_0.1
0.001,0.01,500000,64,0.15,0.1,,-50119.06131545917,,,,-50064.39063759127,,-50064.37881680537,,-50064.37797135055,-50078.052185301596,23.676632865205214,-50119.06131545917,23.676632865205214,8,car-train_10000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.15_sig_0.1;car-train_2000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.15_sig_0.1;car-train_6000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.15_sig_0.1;car-train_8000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.15_sig_0.1
0.001,0.01,500000,64,0.2,0.2,,,,-50119.21942395211,,-50064.48016070969,,-50064.467035078625,,-50064.44880659569,-50078.15385658403,23.70921898877193,-50119.21942395211,23.70921898877193,8,car-train_10000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.2_sig_0.2;car-train_4000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.2_sig_0.2;car-train_6000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.2_sig_0.2;car-train_8000_2000000_al_0.001_cl_0.01_buf_500000_bs_64_th_0.2_sig_0.2
0.01,0.0001,500000,64,0.25,0.2,,,,,,-50119.33309513043,,-50064.45060895792,-50064.40299697683,-50064.44764247972,-50078.15858588622,23.772121478260722,-50119.33309513043,23.772121478260722,8,car-train_10000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.2;car-train_6000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.2;car-train_8000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.2;car-train_9000_2000000_al_0.01_cl_0.0001_buf_500000_bs_64_th_0.25_sig_0.2
